CONSTRAINT,TYPE,WHAT,CONDITION,LB,UB,ONOFF
46,Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP35"")",,,
47,Enemy,Item,"ID %in% c(""FATIMP14"", ""FATIMP43"")",,,
48,Enemy,Item,"ID %in% c(""FATIMP15"", ""FATIMP45"")",,,
49,Enemy,Item,"ID %in% c(""FATIMP17"", ""FATIMP22"")",,,
50,Enemy,Item,"ID %in% c(""FATIMP17"", ""FATIMP30"")",,,
51,Enemy,Item,"ID %in% c(""FATIMP17"", ""FATIMP35"")",,,
52,Enemy,Item,"ID %in% c(""FATIMP17"", ""FATIMP38"")",,,
53,Enemy,Item,"ID %in% c(""FATIMP18"", ""FATIMP34"")",,,
54,Enemy,Item,"ID %in% c(""FATIMP18"", ""FATIMP48"")",,,
55,Enemy,Item,"ID %in% c(""FATIMP18"", ""FATIMP56"")",,,
56,Enemy,Item,"ID %in% c(""FATIMP18"", ""AN16"")",,,
57,Enemy,Item,"ID %in% c(""FATIMP20"", ""FATIMP30"")",,,
58,Enemy,Item,"ID %in% c(""FATIMP22"", ""FATIMP30"")",,,
59,Enemy,Item,"ID %in% c(""FATIMP22"", ""FATIMP35"")",,,
60,Enemy,Item,"ID %in% c(""FATIMP22"", ""FATIMP38"")",,,
61,Enemy,Item,"ID %in% c(""FATIMP25"", ""FATIMP28"")",,,
62,Enemy,Item,"ID %in% c(""FATIMP25"", ""FATIMP30"")",,,
63,Enemy,Item,"ID %in% c(""FATIMP25"", ""FATIMP38"")",,,
64,Enemy,Item,"ID %in% c(""FATIMP26"", ""FATIMP56"")",,,
65,Enemy,Item,"ID %in% c(""FATIMP27"", ""FATIMP36"")",,,
66,Enemy,Item,"ID %in% c(""FATIMP30"", ""FATIMP35"")",,,
67,Enemy,Item,"ID %in% c(""FATIMP30"", ""FATIMP38"")",,,
68,Enemy,Item,"ID %in% c(""FATIMP30"", ""FATIMP43"")",,,
69,Enemy,Item,"ID %in% c(""FATIMP30"", ""FATIMP44"")",,,
70,Enemy,Item,"ID %in% c(""FATIMP34"", ""FATIMP48"")",,,
71,Enemy,Item,"ID %in% c(""FATIMP34"", ""AN16"")",,,
72,Enemy,Item,"ID %in% c(""FATIMP35"", ""FATIMP38"")",,,
73,Enemy,Item,"ID %in% c(""FATIMP35"", ""FATIMP43"")",,,
74,Enemy,Item,"ID %in% c(""FATIMP35"", ""FATIMP44"")",,,
75,Enemy,Item,"ID %in% c(""FATIMP35"", ""FATIMP52"")",,,
76,Enemy,Item,"ID %in% c(""FATIMP38"", ""FATIMP43"")",,,
77,Enemy,Item,"ID %in% c(""FATIMP38"", ""FATIMP44"")",,,
78,Enemy,Item,"ID %in% c(""FATIMP38"", ""FATIMP52"")",,,
79,Enemy,Item,"ID %in% c(""FATIMP40"", ""FATEXP31"")",,,
80,Enemy,Item,"ID %in% c(""FATIMP40"", ""FATEXP44"")",,,
81,Enemy,Item,"ID %in% c(""FATIMP40"", ""FATEXP54"")",,,
82,Enemy,Item,"ID %in% c(""FATIMP43"", ""FATIMP44"")",,,
83,Enemy,Item,"ID %in% c(""FATIMP43"", ""FATIMP52"")",,,
84,Enemy,Item,"ID %in% c(""FATIMP44"", ""FATIMP52"")",,,
85,Enemy,Item,"ID %in% c(""FATIMP45"", ""FATIMP48"")",,,
86,Enemy,Item,"ID %in% c(""FATIMP47"", ""FATIMP55"")",,,
87,Enemy,Item,"ID %in% c(""FATIMP48"", ""AN16"")",,,
88,Enemy,Item,"ID %in% c(""FATEXP6"", ""FATEXP12"")",,,
89,Enemy,Item,"ID %in% c(""FATEXP13"", ""FATEXP36"")",,,
90,Enemy,Item,"ID %in% c(""FATEXP13"", ""FATEXP41"")",,,
91,Enemy,Item,"ID %in% c(""FATEXP13"", ""FATEXP43"")",,,
92,Enemy,Item,"ID %in% c(""FATEXP13"", ""FATEXP52"")",,,
93,Enemy,Item,"ID %in% c(""FATEXP19"", ""FATEXP29"")",,,
94,Enemy,Item,"ID %in% c(""FATEXP21"", ""FATEXP38"")",,,
95,Enemy,Item,"ID %in% c(""FATEXP24"", ""FATEXP54"")",,,
96,Enemy,Item,"ID %in% c(""FATEXP31"", ""FATEXP44"")",,,
97,Enemy,Item,"ID %in% c(""FATEXP31"", ""FATEXP54"")",,,
98,Enemy,Item,"ID %in% c(""FATEXP31"", ""AN5"")",,,
99,Enemy,Item,"ID %in% c(""FATEXP34"", ""FATEXP40"")",,,
100,Enemy,Item,"ID %in% c(""FATEXP36"", ""FATEXP43"")",,,
101,Enemy,Item,"ID %in% c(""FATEXP36"", ""FATEXP52"")",,,
102,Enemy,Item,"ID %in% c(""FATEXP40"", ""FATEXP43"")",,,
103,Enemy,Item,"ID %in% c(""FATEXP42"", ""FATEXP44"")",,,
104,Enemy,Item,"ID %in% c(""FATEXP43"", ""FATEXP52"")",,,
105,Enemy,Item,"ID %in% c(""FATEXP44"", ""FATEXP54"")",,,
106,Enemy,Item,"ID %in% c(""FATEXP44"", ""AN5"")",,,
107,Enemy,Item,"ID %in% c(""FATEXP54"", ""AN5"")",,,
108,Enemy,Item,"ID %in% c(""HI7"", ""AN2"")",,,
109,Enemy,Item,"ID %in% c(""HI12"", ""AN1"")",,,
110,Enemy,Item,"ID %in% c(""AN3"", ""AN4"")",,,
111,Enemy,Item,"ID %in% c(""AN5"", ""AN7"")",,,
