ID,MODEL,PAR1,PAR2,PAR3
RD0072,GPC,2.373505196,1.32204908,2.599998344
RD0073,3PL,0.893494364,-0.387585393,0.064413924
RD0074,3PL,1.105483453,2.515754215,0.221988046
RD0075,3PL,0.881308888,-1.230163868,0.139816225
RD0076,3PL,1.28334001,-0.519103913,0.247169036
RD0077,3PL,1.197994891,1.593350823,0.189897306
RD0078,GPC,1.96355523,1.600007454,1.727071841
RD0079,3PL,1.763789457,-2.114996259,0.091792663
RD0080,3PL,1.81839938,-0.714879369,0.222848673
RD0081,GPC,1.638188175,0.922425275,1.420858477
RD0082,3PL,1.6275523,0.189159512,0.030025761
RD0083,3PL,1.602443249,-0.95816934,0.022694161
RD0084,3PL,1.482757046,-1.472231934,0.226864512
RD0085,3PL,0.962211274,0.254150305,0.186212756
RD0086,3PL,1.553371126,-1.313072237,0.009044733
RD0087,3PL,1.854950663,-1.483940371,0.201493463
RD0088,3PL,0.602361129,0.383570795,0.181641
RD0089,3PL,1.107084202,-1.280501388,0.12345322
RD0090,3PL,1.082165671,-0.269862221,0.172275265
RD0091,3PL,1.418292434,-1.454492195,0.21279713
RD0092,3PL,1.599694385,-0.71332792,0.145657937
RD0093,3PL,1.286092034,-0.888905973,0.092541113
RD0094,3PL,0.608274668,-1.56555268,0.183650961
RD0095,3PL,0.97486117,2.024411983,0.077819797
RD0096,3PL,1.021826069,-0.947784746,0.225381177
RD0097,3PL,1.059775128,0.344146144,0.003450433
RD0098,3PL,0.42732804,0.360991879,0.089619551
RD0099,3PL,1.693896303,-1.137415123,0.202906134
RD0100,3PL,1.327307195,-0.446902558,0.24641301
RD0101,3PL,1.488021205,0.998962945,0.158401688
RD0102,3PL,1.724691829,1.120706306,0.089856038
RD0103,3PL,1.273172293,-0.564998504,0.040671401
RD0104,3PL,0.857730264,3.822232582,0.165001559
RD0105,3PL,0.985092532,2.102205402,0.170794699
RD0106,GPC,2.344371186,2.464425133,3.408225948
RD0107,3PL,1.717991222,1.757218982,0.209126071
RD0108,3PL,0.568668828,0.641627983,0.139412902
RD0109,3PL,0.896278644,2.187108086,0.150884301
RD0110,GPC,2.353752648,1.802962639,3.090077283
RD0111,3PL,1.195055963,-0.558442048,0.224089719
RD0112,3PL,1.593719179,1.240259068,0.10547942
RD0113,3PL,1.738476906,0.49588575,0.010180352
RD0114,3PL,1.241926609,-1.102816723,0.153771372
RD0115,GPC,1.82921632,1.163196623,1.542537836
RD0116,3PL,2.187191525,-0.651688555,0.214371235
RD0117,3PL,1.434903205,-0.486600307,0.161546037
RD0118,3PL,1.176651926,-0.690971865,0.249929679
RD0119,3PL,1.390059186,-0.634762466,0.047932038
RD0120,GPC,2.408829224,0.639082912,3.048080632
RD0121,3PL,0.757096736,2.498364536,0.115483663
RD0122,3PL,0.810614626,0.712098116,0.051724473
RD0123,3PL,1.830171426,-2.285554468,0.228181492
RD0124,3PL,1.503402167,0.505934558,0.092854869
RD0125,3PL,0.78885269,1.885775352,0.163681536
RD0126,3PL,1.585183601,0.345019002,0.116974583
RD0127,3PL,1.890207257,1.685870239,0.249298529
RD0128,3PL,1.065195811,-0.62717713,0.041119263
RD0129,3PL,1.266615078,-0.237003131,0.021506509
RD0130,GPC,2.884193228,2.358911363,2.761173727
RD0131,GPC,2.035254018,1.97111929,3.003296873
RD0132,3PL,1.140837389,-1.123071037,0.000154649
RD0133,3PL,1.523662519,0.386403735,0.105117813
RD0134,3PL,1.799378484,-0.564093916,0.19029437
RD0135,3PL,0.929531848,0.362878378,0.110175218
RD0136,3PL,1.400143088,-0.62346151,0.12802236
RD0137,3PL,1.545495464,0.22068806,0.223057757
RD0138,3PL,0.759567228,-0.133469733,0.106853272
RD0139,3PL,1.104322628,-0.594758263,0.202971548
RD0140,3PL,1.358116558,-0.305127728,0.108865207
RD0141,3PL,1.24702478,0.612361135,0.056246481
RD0142,3PL,0.825670258,-2.078348954,0.139030838
RD0143,3PL,1.25947907,1.420516064,0.055555631
RD0144,3PL,1.666235814,-0.341155433,0.06164493
RD0145,3PL,0.771006012,1.590514933,0.167483463
RD0146,3PL,1.712268978,0.462418085,0.136293793
RD0147,3PL,1.253931232,1.941438122,0.072882998
RD0148,3PL,0.422052776,0.976518269,0.013487557
RD0149,3PL,1.250463603,1.432159942,0.063270643
RD0150,3PL,0.87249702,2.259485156,0.152329887
RD0151,3PL,0.690744058,-1.373158668,0.047683992
RD0152,3PL,1.028667027,1.384206562,0.2370281
RD0153,3PL,0.695093329,-0.595097736,0.158002771
RD0154,3PL,0.758902743,0.311700649,0.144771028
RD0155,3PL,0.963363684,0.402534159,0.027100338
RD0156,3PL,2.155081594,-0.746296845,0.074645056
RD0157,3PL,1.414756835,0.783624113,0.150980836
RD0158,3PL,1.21489819,0.63053756,0.012614814
RD0159,3PL,1.361225651,-1.126833822,0.129659772
RD0160,3PL,0.979730667,0.172848251,0.183426238
RD0161,3PL,2.435519506,-0.846473357,0.153829261
RD0162,3PL,1.513492444,1.057061758,0.156646612
RD0163,3PL,1.098595347,1.772308697,0.217839578
RD0164,3PL,1.617216062,0.261240547,0.043517354
RD0165,3PL,0.895804236,1.384771923,0.113045658
RD0166,3PL,1.604182137,-0.006002617,0.040363763
RD0167,3PL,1.862401568,-0.158672113,0.059474195
RD0168,3PL,1.032733622,-1.254870832,0.229228683
RD0169,3PL,0.523651609,1.067440642,0.155430076
RD0170,3PL,1.104794735,0.872648396,0.090659745
RD0171,3PL,1.338176165,-0.234343295,0.147143197
RD0172,3PL,1.438056855,0.900567822,0.014713228
RD0173,3PL,2.008346593,-0.924636836,0.205387571
RD0174,3PL,1.535438388,-1.09868471,0.018383631
RD0175,3PL,0.876860258,0.276616966,0.145631863
RD0176,3PL,1.543083843,0.314075392,0.184286717
RD0177,3PL,0.840173021,-0.610917503,0.083105635
RD0178,3PL,0.724493981,-0.409446978,0.07155653
RD0179,3PL,1.091433288,-0.716509375,0.050464468
RD0180,3PL,1.539443328,-0.530631859,0.226522488
RD0181,3PL,1.848038212,-0.196970297,0.180709899
RD0182,3PL,1.02936426,2.044837471,0.099429162
RD0183,3PL,1.290040077,1.665669597,0.243435387
RD0184,3PL,1.173794872,-1.315130834,0.209133273
RD0185,3PL,1.214705646,-0.373941876,0.149855735
RD0186,3PL,1.495930098,-0.508913505,0.025409611
RD0187,3PL,0.329164545,2.794324056,0.021119782
RD0188,3PL,1.112396139,0.241058339,0.024898379
RD0189,3PL,1.159700295,-0.601643456,0.068031352
RD0190,3PL,1.632596158,-0.874746885,0.068892392
RD0191,3PL,1.072341914,0.235575399,0.018143751
RD0192,3PL,1.388350314,-1.430819109,0.081741219
RD0193,3PL,0.666832798,0.371198376,0.072007731
RD0194,3PL,1.092488643,3.173907505,0.200375256
RD0195,3PL,1.036175082,-1.041100369,0.222086719
RD0196,GPC,2.073624815,1.034351996,1.285108143
RD0197,3PL,0.646399588,-0.359778638,0.191464348
RD0198,3PL,1.341517314,-1.005783203,0.001561061
RD0199,3PL,1.833100072,0.968784495,0.160818795
RD0200,GPC,1.164973464,0.570473929,2.130653548
RD0201,3PL,0.404810662,1.082813048,0.013836727
RD0202,3PL,1.025465129,0.274050622,0.14658573
RD0203,3PL,1.360149862,1.951631783,0.175965162
RD0204,3PL,0.887284584,-0.392037044,0.192795661
RD0205,3PL,0.911750654,-0.118338277,0.052928003
RD0206,3PL,1.846186482,0.536143428,0.000953026
RD0207,3PL,1.235157081,0.835947514,0.015431018
RD0208,3PL,1.508951496,0.929676647,0.213768182
RD0209,3PL,1.182462817,1.95698354,0.079600002
RD0210,3PL,0.95574323,1.239339498,0.036833932
RD0211,3PL,1.143050617,-0.274108721,0.075801907
RD0212,3PL,1.593089712,0.542891402,0.049774186
RD0213,3PL,0.734517348,2.27835168,0.245428154
RD0214,3PL,1.564312351,0.075827157,0.047394932
RD0215,3PL,1.878593095,-1.839756091,0.106572856
RD0216,3PL,1.256519876,-1.104235917,0.16309731
RD0217,3PL,1.388470385,0.185239999,0.17526863
RD0218,3PL,1.447610744,-0.77360992,0.079168925
RD0219,3PL,1.201069698,-0.816115314,0.141777868
RD0220,3PL,0.880314949,0.198123173,0.231617139
RD0221,3PL,1.624629757,-0.794145783,0.023932087
RD0222,3PL,1.230495773,1.474107456,0.120212917
RD0223,3PL,0.427547416,-2.016377501,0.044048476
RD0224,3PL,1.228632973,-1.388867655,0.077478444
RD0225,3PL,1.672921018,0.704085867,0.033245091
RD0226,GPC,1.654765076,1.602207451,2.181216195
RD0227,3PL,1.090176699,0.756446012,0.204799123
RD0228,3PL,0.968808765,2.061937023,0.130684277
RD0229,3PL,0.294521971,1.216427496,0.208528528
RD0230,3PL,1.305405032,0.316367936,0.169020965
RD0231,3PL,0.671661575,-0.45268955,0.13761415
RD0232,3PL,0.7563622,0.51152741,0.012033243
RD0233,GPC,3.183530174,1.656116601,2.413774372
RD0234,3PL,0.584729999,-0.819165347,0.10043481
RD0235,3PL,0.615269539,2.53713111,0.065873181
RD0236,3PL,1.451745524,-2.855044698,0.0955605
RD0237,3PL,0.780078102,1.405851721,0.028275526
RD0238,3PL,1.592627427,-0.508591571,0.125831387
RD0239,3PL,1.491585265,-1.889077496,0.249102487
RD0240,3PL,0.830485974,0.173224651,0.114076532
RD0241,GPC,1.741789896,0.930985818,2.007920336
RD0242,3PL,0.991623474,2.456589301,0.145262404
RD0243,3PL,0.549783742,0.787315534,0.042399596
RD0244,GPC,2.656128605,1.622461365,1.843376658
RD0245,3PL,1.617262185,-0.878040587,0.083783165
RD0246,3PL,0.97110968,-0.282472486,0.11957203
RD0247,3PL,2.040861239,-1.215146367,0.108069365
RD0248,3PL,1.339860197,1.397726727,0.086228491
RD0249,3PL,1.174012498,1.116647656,0.121710169
RD0250,3PL,1.119382967,0.765440382,0.100950668
RD0251,3PL,1.528602945,-0.814465996,0.119323459
RD0252,3PL,0.763270899,3.573254529,0.185876975
RD0253,3PL,1.53267556,0.552753886,0.114927715
RD0254,GPC,2.315269058,0.407491444,1.096698651
RD0255,3PL,0.907676969,-1.058738688,0.22727312
RD0256,3PL,1.848520233,-1.058137882,0.164528463
RD0257,3PL,2.212427032,-1.839336978,0.014795489
RD0258,3PL,1.154932154,2.206832607,0.027268018
RD0259,3PL,1.278227102,0.826131037,0.12417448
RD0260,GPC,2.08565233,1.102159264,3.242843005
RD0261,3PL,1.02921179,-0.420543548,0.090945272
RD0262,3PL,2.031039411,-1.528845091,0.064642923
RD0263,3PL,1.727259208,0.437041358,0.245003251
RD0264,3PL,1.32540815,2.573683849,0.059026159
RD0265,3PL,0.922040458,1.301423197,0.175030788
RD0266,3PL,1.549449756,-0.978910865,0.187423288
RD0267,GPC,2.217774268,1.264929105,3.137783192
RD0268,3PL,1.209287462,-1.532774698,0.038236853
RD0269,3PL,0.967103665,-0.11025221,0.01781609
RD0270,3PL,1.76792164,2.301065639,0.122706069
RD0271,GPC,1.671584393,1.272486329,2.529992454
RD0272,3PL,1.282855865,2.292307327,0.070450015
RD0273,3PL,1.466408088,-0.959132607,0.174700284
RD0274,3PL,0.613962227,1.272853882,0.066502223
RD0275,3PL,0.817111344,2.748303179,0.056407816
RD0276,3PL,1.249772406,1.41424995,0.151642899
RD0277,3PL,2.201870984,-0.204194914,0.041512399
RD0278,3PL,0.541726148,-0.721709353,0.026566427
RD0279,3PL,0.526737982,2.626106691,0.010397894
RD0280,3PL,0.50975581,1.977869637,0.117755462
RD0281,3PL,1.54553462,1.121020975,0.089593167
RD0282,3PL,1.490201208,-0.286654218,0.186428884
RD0283,3PL,1.01154396,0.233213266,0.171547349
RD0284,3PL,0.991815134,-0.812556918,0.244749516
RD0285,3PL,1.071001183,0.934279264,0.065469868
RD0286,3PL,1.237502672,0.622961541,0.024958855
RD0287,3PL,1.476599648,-1.37321766,0.160001404
RD0288,3PL,2.135006246,-1.423827932,0.141262134
RD0289,3PL,1.417726939,0.085600077,0.016135053
RD0290,GPC,2.460153616,2.599999807,3.142760303
RD0291,3PL,0.918476037,0.967363189,0.249171168
RD0292,3PL,0.66797114,-0.119302486,0.14693652
RD0293,GPC,2.041287128,1.317288778,1.493507222
RD0294,3PL,1.411325955,2.391192029,0.217204515
RD0295,3PL,2.319867593,-0.334663044,0.114649384
RD0296,3PL,0.757579612,-0.320687216,0.083241943
RD0297,3PL,0.86513799,2.856857186,0.01584191
RD0298,3PL,1.147221498,0.224569316,0.142831723
RD0299,3PL,0.671227864,2.207964199,0.209706337
RD0300,3PL,1.040530195,-0.540215185,0.197837481
RD0301,3PL,1.744238355,0.459647821,4.17067E-05
RD0302,3PL,0.723414102,2.413203423,0.113221657
RD0303,3PL,1.27575394,-0.699180268,0.113944321
