ID,MODEL,PAR1,PAR2,PAR3
154,"3PL",0.33524,0.09306,0.01037
155,"3PL",0.166974,0.08529,0.02913
156,"3PL",0.220864,0.06044,0.01736
157,"3PL",0.209253,0.0751,0.01405
158,"3PL",0.243967,0.07956,0.01248
159,"3PL",0.285838,0.06389,0.00933
160,"3PL",0.228004,0.07977,0.01511
161,"3PL",0.0646,0.17283,0.06945
162,"3PL",0.066521,0.31758,0.09122
163,"3PL",0.100011,0.08617,0.04646
164,"3PL",0.117929,0.08275,0.03704
165,"3PL",0.102595,0.08452,0.04099
166,"3PL",0.055726,0.25432,0.07405
167,"3PL",0.053635,0.1593,0.05249
168,"3PL",0.062679,0.13626,0.05619
169,"3PL",0.06341,0.19438,0.06235
170,"3PL",0.063376,0.06624,0.02904
171,"3PL",0.157879,0.12835,0.02824
172,"3PL",0.110228,0.18346,0.05812
173,"3PL",0.070159,0.12156,0.04957
174,"3PL",0.106284,0.13801,0.04386
175,"3PL",0.080036,0.10209,0.04241
176,"3PL",0.173978,0.07796,0.02456
177,"3PL",0.199631,0.18184,0.02087
178,"3PL",0.072709,0.15041,0.06352
179,"3PL",0.06919,0.12168,0.04989
180,"3PL",0.09163,0.09634,0.04548
181,"3PL",0.067099,0.07702,0.0326
182,"3PL",0.057936,0.14678,0.0354
183,"3PL",0.386733,0.15519,0.01201
184,"3PL",0.088111,0.10632,0.04994
185,"3PL",0.107865,0.13553,0.04368
186,"3PL",0.135507,0.05472,0.02278
187,"3PL",0.130968,0.04127,0.01635
188,"3PL",0.218178,0.11148,0.01456
189,"3PL",0.146727,0.07148,0.02471
190,"3PL",0.127925,0.09296,0.03098
191,"3PL",0.134555,0.05775,0.01826
192,"3PL",0.210375,0.04611,0.01535
193,"3PL",0.239122,0.05594,0.01501
194,"3PL",0.212857,0.05,0.01736
195,"3PL",0.260423,0.0688,0.01398
196,"3PL",0.189907,0.06701,0.02247
197,"3PL",0.14518,0.05959,0.02257
198,"3PL",0.175644,0.05053,0.01676
199,"3PL",0.315639,0.09579,0.01347
200,"3PL",0.22729,0.1108,0.01337
201,"3PL",0.052632,0.37909,0.08608
202,"3PL",0.121074,0.28732,0.0677
203,"3PL",0.068748,0.18947,0.07138
204,"3PL",0.066215,0.21994,0.07019
205,"3PL",0.077707,0.18411,0.06065
206,"3PL",0.102663,0.14731,0.05257
207,"3PL",0.092701,0.21311,0.07874
208,"3PL",0.071791,0.1084,0.04565
209,"3PL",0.082008,0.21024,0.05987
210,"3PL",0.065348,0.11811,0.03456
211,"3PL",0.135286,0.10817,0.03408
212,"3PL",0.164475,0.07785,0.02296
213,"3PL",0.069241,0.11471,0.05182
214,"3PL",0.048297,0.26577,0.0657
215,"3PL",0.115362,0.10321,0.06125
216,"3PL",0.080325,0.12257,0.04314
217,"3PL",0.176936,0.05595,0.01402
218,"3PL",0.110109,0.10774,0.04732
219,"3PL",0.083827,0.13332,0.0544
220,"3PL",0.115328,0.07334,0.03499
221,"3PL",0.091256,0.08056,0.03487
222,"3PL",0.077877,0.0873,0.03413
223,"3PL",0.082484,0.06152,0.0257
224,"3PL",0.099161,0.07852,0.03086
225,"3PL",0.066946,0.22892,0.0813
226,"3PL",0.097529,0.19057,0.05861
227,"3PL",0.077316,0.17634,0.05453
228,"3PL",0.116586,0.11601,0.04281
229,"3PL",0.175593,0.03778,0.01517
230,"3PL",0.122655,0.13428,0.04641
231,"3PL",0.138346,0.10519,0.03524
232,"3PL",0.196792,0.04733,0.01841
233,"3PL",0.172176,0.07461,0.02358
234,"3PL",0.172448,0.06289,0.02097
235,"3PL",0.174301,0.06556,0.02168
236,"3PL",0.190723,0.07032,0.02258
237,"3PL",0.151402,0.10692,0.03587
238,"3PL",0.187034,0.0768,0.02657
239,"3PL",0.271762,0.1854,0.01124
240,"3PL",0.282115,0.07186,0.01187
241,"3PL",0.103547,0.14309,0.07342
242,"3PL",0.069921,0.13374,0.05667
243,"3PL",0.083368,0.11546,0.04592
244,"3PL",0.129761,0.1422,0.04824
245,"3PL",0.109276,0.10226,0.04036
246,"3PL",0.069122,0.25493,0.07139
247,"3PL",0.118796,0.15758,0.06388
248,"3PL",0.105927,0.12399,0.0695
249,"3PL",0.12376,0.10621,0.03653
250,"3PL",0.151113,0.03512,0.01346
251,"3PL",0.061982,0.14352,0.05642
252,"3PL",0.083861,0.16579,0.07724
253,"3PL",0.11764,0.15728,0.06038
254,"3PL",0.12971,0.16221,0.0495
255,"3PL",0.198407,0.05075,0.01844
256,"3PL",0.124814,0.11362,0.03432
257,"3PL",0.138669,0.03513,0.0123
258,"3PL",0.094792,0.1674,0.07026
259,"3PL",0.066657,0.08014,0.03517
260,"3PL",0.058616,0.13139,0.04842
261,"3PL",0.102187,0.0991,0.04311
262,"3PL",0.053363,0.13588,0.04119
263,"3PL",0.119357,0.05725,0.01828
264,"3PL",0.064056,0.12143,0.05047
265,"3PL",0.09129,0.14628,0.04395
266,"3PL",0.150518,0.08161,0.02703
267,"3PL",0.182172,0.06817,0.02267
268,"3PL",0.08636,0.15126,0.05207
269,"3PL",0.135456,0.09472,0.03155
270,"3PL",0.076449,0.19646,0.06943
271,"3PL",0.115107,0.18406,0.05713
272,"3PL",0.1938,0.06999,0.0189
273,"3PL",0.138856,0.07351,0.02749
274,"3PL",0.277372,0.0457,0.0137
275,"3PL",0.266781,0.03825,0.00983
276,"3PL",0.12342,0.09265,0.03205
277,"3PL",0.132736,0.1354,0.03922
278,"3PL",0.142137,0.0599,0.02184
279,"3PL",0.214591,0.09721,0.01931
280,"3PL",0.293607,0.08837,0.01085
281,"3PL",0.08568,0.21891,0.08408
282,"3PL",0.069003,0.15848,0.07011
283,"3PL",0.115549,0.16784,0.06108
284,"3PL",0.090151,0.11958,0.05055
285,"3PL",0.077826,0.10111,0.04231
286,"3PL",0.159154,0.09801,0.02721
287,"3PL",0.072284,0.14812,0.06554
288,"3PL",0.055335,0.21683,0.06773
289,"3PL",0.076959,0.14915,0.05359
290,"3PL",0.123114,0.09087,0.02897
291,"3PL",0.218654,0.05319,0.01071
292,"3PL",0.125681,0.11439,0.03853
293,"3PL",0.106675,0.08369,0.03276
294,"3PL",0.061268,0.09552,0.03867
295,"3PL",0.092718,0.13213,0.05411
296,"3PL",0.108545,0.12881,0.0423
297,"3PL",0.113118,0.0584,0.02084
298,"3PL",0.135847,0.14637,0.05434
299,"3PL",0.114274,0.14074,0.05024
300,"3PL",0.123522,0.08508,0.03367
301,"3PL",0.069326,0.1029,0.03524
302,"3PL",0.129387,0.06348,0.02185
303,"3PL",0.070669,0.21131,0.06374
304,"3PL",0.051391,0.2601,0.05995
305,"3PL",0.12138,0.23298,0.05768
306,"3PL",0.146472,0.05996,0.01754
307,"3PL",0.237133,0.10557,0.01135
308,"3PL",0.11152,0.17794,0.05876
309,"3PL",0.135728,0.09798,0.03587
310,"3PL",0.129591,0.05502,0.0229
311,"3PL",0.17306,0.06103,0.01989
312,"3PL",0.111333,0.12627,0.0437
313,"3PL",0.223312,0.04254,0.01168
314,"3PL",0.248421,0.0982,0.0145
315,"3PL",0.182393,0.14798,0.03983
316,"3PL",0.168606,0.08391,0.02559
317,"3PL",0.230656,0.06204,0.01428
318,"3PL",0.497641,0.08559,0.01007
319,"3PL",0.162741,0.08168,0.01526
320,"3PL",0.20638,0.07033,0.01382
